id,name,source,category,size
1,Audit Trails,Network Sensors,User Behavior,42346
2,Access Logs,Endpoint Devices,Security,26350
3,Audit Trails,Endpoint Devices,User Behavior,14715
4,Security Alerts,Network Sensors,Security,28999
5,Firewall Logs,Endpoint Devices,Compliance,26429
6,Application Logs,Third-Party Vendor,Operations,48943
7,Threat Intelligence,Internal Systems,Infrastructure,42878
8,User Activity,Third-Party Vendor,Compliance,7736
9,Firewall Logs,Internal Systems,Compliance,11135
10,Network Logs,Cloud Provider,Finance,6952
11,Firewall Logs,Endpoint Devices,Operations,29949
12,Firewall Logs,Endpoint Devices,Security,32128
13,User Activity,Endpoint Devices,Compliance,43356
14,Transaction Records,Cloud Provider,Finance,47530
15,Network Logs,Cloud Provider,Finance,4779
16,Transaction Records,Internal Systems,Security,19150
17,Transaction Records,Endpoint Devices,Infrastructure,10996
18,Network Logs,Cloud Provider,Operations,16261
19,User Activity,Cloud Provider,Finance,35989
20,Security Alerts,Network Sensors,Compliance,34461
21,Threat Intelligence,Endpoint Devices,Finance,36729
22,Audit Trails,Internal Systems,Security,46362
23,Security Alerts,Third-Party Vendor,Infrastructure,48229
24,Network Logs,Internal Systems,Security,15951
25,Application Logs,Third-Party Vendor,Operations,32664
26,Application Logs,Third-Party Vendor,Infrastructure,21424
27,Audit Trails,Network Sensors,Infrastructure,20265
28,Firewall Logs,Internal Systems,Compliance,1237
29,Transaction Records,Network Sensors,Compliance,17909
30,Threat Intelligence,SIEM Platform,User Behavior,36644
31,Transaction Records,Network Sensors,Compliance,47804
32,Transaction Records,Third-Party Vendor,User Behavior,34995
33,Audit Trails,Internal Systems,Compliance,15238
34,Network Logs,Network Sensors,Infrastructure,4418
35,Audit Trails,Third-Party Vendor,User Behavior,34142
36,Access Logs,Cloud Provider,User Behavior,34776
37,Security Alerts,Third-Party Vendor,Finance,16207
38,Audit Trails,Cloud Provider,Security,44053
39,User Activity,Cloud Provider,Finance,39628
40,Application Logs,Endpoint Devices,User Behavior,39778
41,Firewall Logs,Endpoint Devices,Infrastructure,49255
42,User Activity,SIEM Platform,Finance,18201
43,Security Alerts,Network Sensors,Compliance,5765
44,Firewall Logs,SIEM Platform,Security,24789
45,Firewall Logs,Internal Systems,User Behavior,8781
46,Network Logs,Cloud Provider,Operations,21825
47,Application Logs,Cloud Provider,Infrastructure,15326
48,Network Logs,SIEM Platform,Infrastructure,5393
49,Transaction Records,Cloud Provider,Finance,24074
50,Network Logs,Network Sensors,Security,26227
51,Network Logs,Cloud Provider,Operations,38881
52,Security Alerts,Internal Systems,Security,20450
53,Audit Trails,Third-Party Vendor,Operations,20173
54,Network Logs,Endpoint Devices,Infrastructure,19014
55,Application Logs,Third-Party Vendor,Operations,5980
56,Network Logs,Third-Party Vendor,Compliance,28231
57,Access Logs,Third-Party Vendor,Infrastructure,25316
58,Audit Trails,Cloud Provider,Security,8969
59,User Activity,SIEM Platform,Operations,16437
60,Transaction Records,SIEM Platform,Operations,34530
61,User Activity,Endpoint Devices,Operations,19258
62,Security Alerts,Network Sensors,User Behavior,32593
63,Threat Intelligence,SIEM Platform,User Behavior,40940
64,System Metrics,Third-Party Vendor,Infrastructure,30512
65,Transaction Records,Network Sensors,Operations,19539
66,System Metrics,Endpoint Devices,Operations,27778
67,Application Logs,Internal Systems,Infrastructure,35366
68,Transaction Records,Third-Party Vendor,Security,29388
69,Security Alerts,Network Sensors,Operations,27847
70,Network Logs,Network Sensors,Infrastructure,5603
71,Security Alerts,Cloud Provider,Security,44671
72,Network Logs,Cloud Provider,Security,6835
73,Access Logs,Third-Party Vendor,Infrastructure,4280
74,Network Logs,SIEM Platform,Compliance,19733
75,Application Logs,SIEM Platform,Operations,3496
76,Audit Trails,Internal Systems,Operations,49571
77,Network Logs,Cloud Provider,Infrastructure,18834
78,Firewall Logs,Third-Party Vendor,Infrastructure,16513
79,Threat Intelligence,Internal Systems,User Behavior,25235
80,Access Logs,Network Sensors,Finance,10301
81,Transaction Records,Cloud Provider,Compliance,2297
82,System Metrics,Third-Party Vendor,Finance,18769
83,Access Logs,Endpoint Devices,Compliance,2810
84,User Activity,Internal Systems,Compliance,30491
85,System Metrics,Third-Party Vendor,Infrastructure,37666
86,Access Logs,Internal Systems,Compliance,48778
87,Security Alerts,Network Sensors,Security,24845
88,Transaction Records,Third-Party Vendor,Compliance,22312
89,Security Alerts,Endpoint Devices,Security,7886
90,User Activity,SIEM Platform,Compliance,34926
91,System Metrics,Endpoint Devices,Compliance,24497
92,Network Logs,Network Sensors,Security,21391
93,Security Alerts,Network Sensors,Security,35185
94,Access Logs,Third-Party Vendor,Operations,44606
95,Access Logs,SIEM Platform,Security,43292
96,Application Logs,Cloud Provider,Compliance,16081
97,Access Logs,SIEM Platform,Operations,9109
98,Network Logs,Third-Party Vendor,Operations,12373
99,Network Logs,Cloud Provider,Infrastructure,45796
100,Threat Intelligence,Third-Party Vendor,Operations,20950
