id,title,severity,status,date
1,Ransomware Attack,Critical,open,2024-04-14
2,Phishing Attack,Critical,open,2024-08-09
3,Ransomware Attack,Critical,open,2024-09-29
4,System Vulnerability,Critical,open,2024-06-08
5,Unauthorized Access,High,in_progress,2024-03-08
6,Ransomware Attack,Low,closed,2024-04-25
7,Insider Threat,Medium,closed,2024-04-23
8,Suspicious Activity,Critical,open,2024-10-13
9,DDoS Attack,Critical,closed,2024-10-02
10,System Vulnerability,Critical,closed,2024-03-25
11,Suspicious Activity,Low,open,2024-03-08
12,Credential Theft,Critical,in_progress,2024-09-22
13,Insider Threat,Medium,closed,2024-11-15
14,Malware Infection,Critical,open,2024-09-01
15,Credential Theft,Critical,open,2024-05-09
16,System Vulnerability,Medium,closed,2024-09-16
17,Malware Infection,High,in_progress,2024-03-18
18,DDoS Attack,Critical,open,2024-02-12
19,Malware Infection,Critical,closed,2024-11-01
20,Ransomware Attack,High,open,2024-09-09
21,Unauthorized Access,Low,closed,2024-07-15
22,Suspicious Activity,High,open,2024-11-23
23,Insider Threat,Medium,in_progress,2024-11-20
24,Suspicious Activity,Medium,in_progress,2024-09-13
25,Data Breach,High,in_progress,2024-01-02
26,Malware Infection,High,in_progress,2024-05-09
27,Phishing Attack,Low,open,2024-06-03
28,Data Breach,Low,in_progress,2024-09-19
29,Malware Infection,Critical,open,2024-02-25
30,Data Breach,High,open,2024-08-25
31,Malware Infection,Low,open,2024-02-02
32,System Vulnerability,High,in_progress,2024-06-18
33,Malware Infection,Critical,in_progress,2024-07-03
34,DDoS Attack,Critical,open,2024-05-27
35,Unauthorized Access,Medium,open,2024-03-15
36,Ransomware Attack,Low,closed,2024-04-23
37,Malware Infection,Critical,in_progress,2024-01-10
38,Malware Infection,Critical,in_progress,2024-06-08
39,System Vulnerability,Critical,open,2024-10-06
40,Ransomware Attack,Medium,closed,2024-06-12
41,Data Breach,Low,closed,2024-04-19
42,Malware Infection,Low,closed,2024-06-19
43,System Vulnerability,High,closed,2024-05-08
44,Unauthorized Access,Medium,closed,2024-02-19
45,System Vulnerability,Low,in_progress,2024-03-17
46,Credential Theft,Medium,closed,2024-02-21
47,System Vulnerability,Critical,closed,2024-09-28
48,Ransomware Attack,Medium,closed,2024-04-12
49,Data Breach,Critical,in_progress,2024-05-27
50,Suspicious Activity,Medium,in_progress,2024-09-06
51,Suspicious Activity,Critical,open,2024-08-08
52,DDoS Attack,Low,open,2024-01-01
53,DDoS Attack,Low,open,2024-06-26
54,Credential Theft,High,in_progress,2024-08-20
55,Suspicious Activity,Medium,open,2024-03-21
56,System Vulnerability,High,closed,2024-11-15
57,Insider Threat,Critical,in_progress,2024-11-06
58,Data Breach,Critical,open,2024-05-22
59,Credential Theft,Critical,open,2024-01-11
60,Unauthorized Access,Critical,open,2024-06-19
61,Credential Theft,High,open,2024-06-16
62,Suspicious Activity,Critical,closed,2024-09-01
63,Data Breach,Critical,closed,2024-01-09
64,Insider Threat,Low,open,2024-08-07
65,Insider Threat,Critical,open,2024-06-02
66,DDoS Attack,Low,closed,2024-03-26
67,Data Breach,Low,open,2024-08-06
68,Malware Infection,Critical,closed,2024-04-30
69,Ransomware Attack,Medium,open,2024-03-02
70,Data Breach,High,in_progress,2024-08-19
71,Suspicious Activity,Low,closed,2024-05-29
72,Data Breach,Medium,closed,2024-08-09
73,Phishing Attack,High,closed,2024-02-10
74,DDoS Attack,Critical,in_progress,2024-08-13
75,Suspicious Activity,Low,in_progress,2024-11-01
76,Suspicious Activity,High,in_progress,2024-06-13
77,Malware Infection,High,closed,2024-10-17
78,Suspicious Activity,Critical,closed,2024-05-19
79,System Vulnerability,Low,open,2024-06-07
80,Credential Theft,Critical,in_progress,2024-06-15
81,Credential Theft,Low,open,2024-01-06
82,Data Breach,Low,in_progress,2024-01-25
83,Suspicious Activity,Medium,open,2024-05-12
84,Insider Threat,Critical,in_progress,2024-03-22
85,Ransomware Attack,High,in_progress,2024-09-23
86,Unauthorized Access,Low,open,2024-02-03
87,Ransomware Attack,Medium,closed,2024-02-26
88,Phishing Attack,Medium,open,2024-11-21
89,Credential Theft,High,in_progress,2024-07-21
90,System Vulnerability,High,in_progress,2024-11-23
91,Malware Infection,Medium,open,2024-09-28
92,Suspicious Activity,Low,in_progress,2024-08-31
93,Ransomware Attack,High,open,2024-01-11
94,Suspicious Activity,Critical,open,2024-08-07
95,Data Breach,Low,in_progress,2024-04-02
96,System Vulnerability,High,closed,2024-05-08
97,DDoS Attack,Critical,in_progress,2024-08-17
98,Unauthorized Access,Low,open,2024-07-25
99,Unauthorized Access,High,open,2024-06-26
100,Credential Theft,Critical,closed,2024-08-07
